Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,GAP medio,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Paladas totales,Swolf medio,Velocidad media de palada,Pasos,Repeticiones totales,Series totales,Descarga de Body Battery,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Ritmo respiratorio medio,Ritmo mínimo de respiración,Ritmo máximo de respiración,Cambio en estrés,Inicio del periodo de estrés,Fin del periodo de estrés,Estrés medio,Estrés máximo,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Entreno de fuerza,2026-03-25 07:01:45,false,"Fuerza","0.00","399","00:58:21","105","151","1.9","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","272","136","22","-9","--","No","00:58:21","1","--","--","--","--","--","--","--","--","--","00:18:58","00:58:21","--","--"
Ciclismo en sala,2026-03-24 21:18:53,false,"Ciclismo en sala","17.62","524","01:00:01","127","135","2.5","--","--","17.6","20.4","--","--","--","--","--","--","--","77","93","120","23.9","120","120","154","4662","--","--","--","--","--","-9","--","No","00:08:31.6","4","--","30","19","37","--","--","--","--","--","00:59:53","01:00:01","--","--"
Natación en piscina,2026-03-23 13:15:06,false,"Natación en piscina","1,200","448","00:39:50","129","151","2.6","--","--","2:40","1:59","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","770","75","24","--","--","--","--","--","No","00:00:31.7","16","--","--","--","--","--","--","--","--","--","00:32:00","00:40:18","--","--"
Ciclismo en sala,2026-03-22 20:12:05,false,"Ciclismo en sala","41.57","926","01:48:07","122","134","3.1","--","--","23.1","27.2","--","--","--","--","--","--","--","80","94","119","42.4","124","117","206","8641","--","--","--","--","--","-15","--","No","00:04:12.3","9","--","27","14","34","--","--","--","--","--","01:48:04","01:52:03","--","--"
Entreno de fuerza,2026-03-22 09:36:17,false,"Fuerza","0.00","298","01:14:04","86","145","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","340","170","23","-8","--","No","01:14:04","1","--","--","--","--","--","--","--","--","--","00:11:33","01:14:04","--","--"
Ciclismo en sala,2026-03-21 21:46:03,false,"Ciclismo en sala","20.29","381","00:54:05","119","130","2.2","--","--","22.5","28.8","--","--","--","--","--","--","--","90","104","95","13.6","104","92","169","4869","--","--","--","--","--","-8","--","No","00:00:41.6","5","--","27","19","32","--","--","--","--","--","00:54:03","00:54:05","--","--"
Yoga,2026-03-21 16:12:17,false,"Yoga","--","98","00:45:07","71","102","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","-7","--","No","00:45:07","1","--","15","8","22","-15","45","30","39","72","00:45:07","00:45:07","--","--"
Carrera,2026-03-19 13:22:39,false,"Chillán Carrera","10.02","799","00:58:55","146","169","3.3","168","179","5:53","3:58","74","99","1.01","8.5","8.6","272","5:52","--","--","343","0.0","--","336","548","--","--","--","9,878","--","--","-15","--","No","00:00:06.0","11","--","--","--","--","--","--","--","--","--","00:58:36","00:58:55","112","155"
Carrera,2026-03-18 19:09:37,false,"Chillán Carrera","10.01","811","00:57:03","148","165","3.7","167","183","5:42","3:56","135","116","1.05","8.4","8.7","269","5:37","--","--","384","0.0","--","369","624","--","--","--","9,530","--","--","-12","--","No","00:00:04.3","11","--","36","23","45","--","--","--","--","--","00:56:42","00:58:50","111","143"
Natación en piscina,2026-03-18 12:25:17,false,"Natación en piscina","800","315","00:22:54","139","154","2.8","--","--","2:26","1:49","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","492","69","25","--","--","--","--","--","No","00:00:00.6","11","--","--","--","--","--","--","--","--","--","00:19:24","00:23:37","--","--"
